DATE,ENUC114640510
1990-01-01,512
1990-04-01,517
1990-07-01,516
1990-10-01,549
1991-01-01,489
1991-04-01,522
1991-07-01,524
1991-10-01,577
1992-01-01,536
1992-04-01,545
1992-07-01,527
1992-10-01,622
1993-01-01,538
1993-04-01,557
1993-07-01,564
1993-10-01,635
1994-01-01,592
1994-04-01,569
1994-07-01,591
1994-10-01,661
1995-01-01,627
1995-04-01,585
1995-07-01,583
1995-10-01,667
1996-01-01,628
1996-04-01,622
1996-07-01,615
1996-10-01,688
1997-01-01,686
1997-04-01,646
1997-07-01,647
1997-10-01,744
1998-01-01,711
1998-04-01,695
1998-07-01,684
1998-10-01,800
1999-01-01,754
1999-04-01,705
1999-07-01,733
1999-10-01,837
2000-01-01,872
2000-04-01,798
2000-07-01,741
2000-10-01,825
2001-01-01,820
2001-04-01,774
2001-07-01,761
2001-10-01,840
2002-01-01,832
2002-04-01,811
2002-07-01,794
2002-10-01,885
2003-01-01,866
2003-04-01,832
2003-07-01,829
2003-10-01,927
2004-01-01,906
2004-04-01,834
2004-07-01,845
2004-10-01,932
2005-01-01,880
2005-04-01,845
2005-07-01,886
2005-10-01,943
2006-01-01,925
2006-04-01,872
2006-07-01,887
2006-10-01,938
2007-01-01,996
2007-04-01,923
2007-07-01,928
2007-10-01,971
2008-01-01,939
2008-04-01,869
2008-07-01,890
2008-10-01,965
2009-01-01,907
2009-04-01,850
2009-07-01,883
2009-10-01,966
2010-01-01,867
2010-04-01,862
2010-07-01,899
2010-10-01,1001
2011-01-01,905
2011-04-01,886
2011-07-01,915
2011-10-01,990
2012-01-01,952
2012-04-01,902
2012-07-01,903
2012-10-01,1005
2013-01-01,963
2013-04-01,918
2013-07-01,923
2013-10-01,1009
2014-01-01,984
2014-04-01,935
2014-07-01,954
2014-10-01,1054
2015-01-01,1006
2015-04-01,976
2015-07-01,975
2015-10-01,1093
2016-01-01,1019
2016-04-01,1018
2016-07-01,1030
2016-10-01,1086
2017-01-01,1083
2017-04-01,1053
2017-07-01,1016
2017-10-01,1122
2018-01-01,1127
2018-04-01,1076
